"","x"
"460",2685.11952777778
"461",2253.41731111111
"462",2267.72419444445
"463",2815.63565555556
"464",2851.68521666667
"465",3095.06392777778
"466",3097.70606111112
"467",2801.2237925926
"468",2339.87468333333
"469",2452.91272222222
"470",2624.31907222222
"471",3182.18717777778
"472",3456.29306666667
"473",3255.50939444445
"474",3466.86112777778
"475",2939.58716666667
"476",3263.72523888889
"477",3355.15522222223
"479",3358.40707777778
"480",3306.18718888889
"481",3062.24126666667
"482",2601.22652777778
"483",2617.17920000001
"484",2822.7537
"485",2597.62912222222
"486",2797.9291
"487",3370.98249444445
"488",3244.18512777778
"489",2942.91868888889
"490",2915.30100555556
"491",3543.41875555556
"492",3580.27411111112
"493",3590.98663888889
"494",3578.18606666667
"495",3661.10687222223
"496",2868.60072222223
"497",2949.61916111111
"498",3585.04026111111
"499",3492.05571666667
"500",3269.13368888889
"501",3749.12197777778
"502",3626.33593333334
"503",2902.09632222222
"504",2842.21895
"505",3702.69147222223
"506",3610.33953333334
"507",3646.46157222222
"508",3594.01582222222
"509",3733.42227777778
"510",2853.03342777778
"511",2839.64756111111
"512",2966.16481666666
"513",3719.10567222222
"514",3794.04437777777
"515",3766.50695555556
"516",3740.42551666667
"517",2875.2867
"518",3000.51836666666
"519",3687.83447222223
"520",3701.46186666667
"521",3551.76019444445
"522",3622.99653333334
"523",3713.65948333334
"524",2939.76287777778
"525",2768.46696111111
"526",3725.57252222222
"527",3764.09296666666
"528",3643.74318333334
"529",3439.55280555556
"530",3720.82967777778
"531",2993.69980555555
"532",2993.22669444444
"533",3695.2418
"534",3615.77934444445
"535",3739.54558333333
"536",3493.68803333333
"537",3491.84515555555
"538",2781.28297777778
"539",2977.80014444445
"540",3845.34404444444
"541",4044.1068
"542",3502.43288888889
"543",3946.24035
"544",3756.58782222222
"545",2935.06687777778
"546",2933.29528333334
"547",3517.20578888889
"548",3679.92297063492
"549",2932.79119444445
"550",3508.06312222222
"551",3409.98708888888
"552",2742.88273333333
"553",2741.97051666667
"554",3416.23226709402
"555",3737.2159
"556",3632.46232777778
"557",3720.6412
"558",3712.69247222222
"559",2623.12743888889
"560",2756.33353333333
"561",3604.29364285714
"562",3600.68121507937
"563",3425.32183888889
"564",3452.85372222222
"565",3559.88550396825
"566",2859.35411666667
"567",2851.52387222222
"568",3653.36444444445
"569",3611.57303888889
"570",3533.78734285715
"571",3803.89994444444
"572",3509.19535396825
"573",2863.61363888889
"574",2909.25902777778
"575",3716.41333333334
"576",3760.76832777778
"577",3639.64155
"578",3674.09703333333
"579",3606.33940555556
"580",2758.99861666667
"581",2774.09892777778
"582",3581.10408174603
"583",3647.23248931624
"584",3646.00322777778
"585",3588.17102222222
"586",3681.73458730159
"587",2668.72624444444
"588",2800.74848888889
"589",3876.16667222223
"590",3748.99016666667
"591",3624.06498888889
"592",3668.43576666667
"593",3776.29637222222
"594",2785.92556111111
"595",2903.55141111111
"596",3702.13792936508
"597",3799.33307936508
"598",3761.28445
"599",3645.38125555555
"600",3624.45228888889
"601",2591.67051111111
"602",2761.92059444444
"603",3622.14434444444
"604",3679.25745
"605",3595.91913333333
"606",3745.55358333333
"607",3625.61077222222
"608",2664.39861666667
"609",2696.59293333333
"610",2831.47920555555
"611",3571.29216111111
"612",3515.29936666666
"613",3558.73021111111
"614",3493.79923333333
"615",2838.00208888889
"616",2853.28324444444
"617",3796.74552777778
"618",3684.90417777778
"619",3629.87883333334
"620",3627.50850555556
"621",3679.71456666667
"622",2822.78964444445
"623",2814.45423888889
"624",3646.16332222222
"625",3568.69148333333
"626",3161.71385
"627",3615.63916666668
"628",3630.04808333334
"629",2785.68206111111
"630",2749.37088888889
"631",3638.18032777778
"632",3606.93673888889
"633",3581.58778333333
"634",3585.60291666667
"635",3612.20883888889
"636",2773.93765
"637",2763.80515555556
"638",3576.17557222223
"639",3485.93946666667
"640",3211.16048888889
"641",3460.61491666667
"642",3605.99348888889
"643",2798.29727222222
"644",2713.38299444445
"645",2877.94648333334
"646",3281.33784444444
"647",3334.22895
"648",3413.19680555556
"649",3463.81128333333
"650",2688.79983888889
"651",2674.69685555556
"652",3085.82060555556
"653",2839.52403333333
"654",3352.46323333334
"655",3401.65938888889
"656",3009.94006666667
"657",2860.54812222222
"658",2847.65371666667
"659",3482.1466
"660",3541.75686666667
"661",3562.76716666667
"662",3505.79883888889
"663",2952.76006666667
"664",2855.43592777778
"665",2805.02805
"666",2983.38111111111
"667",3266.21979444444
"670",3238.72104444445
"671",2644.99697222222
"672",2283.85203333333
"673",3036.38545687831
"674",2991.16176798942
"675",3149.24289206349
"676",2922.75306666667
"677",2928.97830873016
"678",2486.99565
"679",2614.08198333333
"680",2775.33536666667
"681",2824.87294444444
"682",2889.05110925926
"683",3133.94954021164
"684",2974.2842925926
"685",2711.66860555556
"686",2703.84398333333
"687",3137.81179206349
"688",2864.23608333333
"689",2848.40296666667
"690",2808.63423333333
"691",3108.42612539683
"692",2075.99498333333
"693",2013.83065
"694",2939.92561666666
"695",2932.15068333333
"696",2872.86097777778
"697",3042.02065873016
"698",3187.26366428571
"699",2641.61723888889
"700",2601.9713
"701",2940.18501111111
"702",2958.75205555556
"703",2831.73028333333
"704",2990.11805
"705",3148.74893465609
"706",2662.39161666667
"707",2604.68143333333
"708",2591.34223148148
"709",2534.61224444445
"710",2902.47814259259
"711",2873.83860925926
"712",3084.65439206349
"713",2663.40900555555
"714",2678.43814444444
"715",2740.72778888889
"716",2579.92546666667
"717",3071.21772222223
"718",3098.16141428572
"719",2882.55687222222
"720",2248.95199444444
"721",1608.27398888889
"722",2140.17411666667
"723",1566.85558888889
"724",2039.67248333334
"725",1771.13185
"726",1754.44561111111
"727",1481.59513888889
"728",1529.28585
"729",1787.36123888889
