"","x"
"469",933.080675
"470",951.721585
"471",552.884249999999
"472",694.686216666666
"473",579.628958333333
"474",663.330473333332
"475",1812.64119833333
"476",1076.73351166667
"477",593.238066666664
"479",726.158918333332
"480",711.264108333331
"481",624.150795
"482",1436.63508333333
"483",1313.55703166667
"484",477.539153333335
"485",426.388920000001
"486",487.645898333334
"487",671.646279126985
"488",651.215876904761
"489",1670.66468166667
"490",1634.64448166667
"491",611.796836666667
"492",655.473274999999
"493",591.977926666667
"494",606.953626666665
"495",610.994658333333
"496",1856.03769166667
"497",1832.02453833333
"498",627.821996666668
"499",617.142301666666
"500",624.399379999998
"501",659.373626666667
"502",625.019515000002
"503",1798.43491833334
"504",1806.75623333334
"505",614.916368333334
"506",605.467958333334
"507",632.492833333332
"508",625.712821666666
"509",676.08135
"510",1842.71728666666
"511",1903.17896833333
"512",1947.943575
"513",676.529936666668
"514",684.164336666666
"515",721.582421666667
"516",787.891041666666
"517",1905.64674
"518",1684.34054833334
"519",674.573383333335
"520",633.082993333335
"521",566.986465
"522",629.469923333333
"523",641.245698333335
"524",1875.64825333333
"525",1867.06180833333
"526",696.375701666667
"527",730.832106666667
"528",641.348038333333
"529",637.801700000001
"530",679.096028333334
"531",1971.47118166667
"532",1858.90876
"533",650.494356666669
"534",606.921861666668
"535",710.37315
"536",623.300506666667
"537",628.353516666668
"538",1711.84308166667
"539",1878.544955
"540",865.820051904762
"541",873.296483571429
"542",841.939390000001
"543",1037.00436333333
"544",897.626927976192
"545",1854.43268666667
"546",1779.51946
"547",676.523162857145
"548",857.357196904763
"549",1687.33379
"550",722.049129166667
"551",812.50189607143
"552",1723.38173166667
"553",1586.49505333334
"554",668.506661785715
"555",831.311725000001
"556",834.276958333332
"557",831.096668333333
"558",844.8383
"559",1579.80426
"560",1742.466835
"561",765.835472380954
"562",713.034448690477
"563",672.426683690478
"564",693.694113690477
"565",769.440867619048
"566",1692.11317833334
"567",1501.52654666667
"568",783.003248333334
"569",759.68806797619
"570",744.605613095236
"571",994.620888571427
"572",690.29843904762
"573",1968.48921333333
"574",1979.37215333333
"575",830.935730000002
"576",844.932540000002
"577",849.886563333335
"578",829.198476666667
"579",782.947953174603
"580",1772.29067333334
"581",1818.54194166667
"582",786.003649047619
"583",793.912937619048
"584",819.964968333333
"585",788.760586785714
"586",809.147804007937
"587",1763.427735
"588",1676.82612333333
"589",858.50512388889
"590",848.919491031747
"591",774.362094365079
"592",778.983367460318
"593",806.442692460318
"594",1693.69611333334
"595",1986.85364333333
"596",684.055776666668
"597",667.145983333332
"598",713.156530555555
"599",707.143195555556
"600",733.597450555555
"601",1741.01372500001
"602",1976.55569333333
"603",612.0677
"604",699.344253888889
"605",743.112787460318
"606",740.864970555555
"607",794.745145555556
"608",1780.17244
"609",1887.55336833333
"610",1839.80297833334
"611",654.943975555555
"612",681.902867222223
"613",677.522040555554
"614",669.007529999998
"615",1676.23844666667
"616",1748.012285
"617",619.791136666667
"618",651.933010000001
"619",576.378749999999
"620",547.346678333333
"621",575.325016666666
"622",1886.86048166667
"623",1815.15745
"624",573.623285000001
"625",546.338583333334
"626",435.897861666666
"627",558.664958333333
"628",537.878251666665
"629",1781.20406333333
"630",1852.79680833333
"631",619.678816666667
"632",584.42824
"633",538.80415
"634",562.506683333334
"635",541.723654999998
"636",1706.26971666667
"637",1705.79534
"638",569.039496666667
"639",524.050329999999
"640",395.354951666666
"641",564.45053
"642",568.205313333332
"643",1774.24892666667
"644",1699.24883333333
"645",1497.26007333333
"646",466.448271666666
"647",516.052263333332
"648",553.272163333333
"649",611.269894999999
"650",1489.405925
"651",1296.32200333333
"652",424.630878333334
"653",422.865508333335
"654",520.292948333333
"655",551.658736666666
"656",422.215146666667
"657",1654.08338833334
"658",1575.3237675
"659",548.068448333334
"660",596.789749166667
"661",517.681964999999
"662",544.407461666665
"663",391.103666666666
"664",1654.23928666667
"665",1801.40151
"666",480.396157499999
"667",456.816751666666
"670",553.690301666666
"671",1281.93021833333
"672",944.113988333335
"673",373.422005000001
"674",375.901958333334
"675",332.635796666667
"676",313.376620000001
"677",371.118843333333
"678",925.966481666668
"679",950.443453333333
"680",730.355513333335
"681",382.206738333333
"682",373.72279
"683",354.516166666667
"684",340.273485
"685",931.791588333334
"686",857.978573333334
"687",393.411229999999
"688",420.128074761905
"689",339.986183333333
"690",626.109033333334
"691",349.421781666666
"692",973.179580000001
"693",838.043476666667
"694",359.419335
"695",356.367033333333
"696",293.627466666667
"697",324.855165
"698",279.823765
"699",812.144200000001
"700",645.686815
"701",353.378068333334
"702",305.337084999999
"703",286.548214999999
"704",424.933578333333
"705",331.536755
"706",887.962905000001
"707",880.984300000001
"708",348.386944761904
"709",264.112648333333
"710",326.535211666668
"711",293.973259999999
"712",303.71518
"713",893.465505
"714",961.158413095238
"715",319.020578333334
"716",288.650893095238
"717",389.183810000001
"718",323.245735
"719",298.742394999999
"720",890.806170000004
"721",704.901296666668
"722",265.109378333333
"723",353.176703333334
"724",187.819878333333
"725",198.003663333333
"726",240.754263333333
"727",501.314483333332
"728",549.002566666667
"729",245.870494444444
