"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casualaverage","temp_average","atemp_average","tomrw_atemp","tomrw_temp","tomrw_weather","tomrw_windspeed","tomrw_hum","predict_day","predict_workday","predict_holiday","casual_diff","casual","registered","cnt","lag_cnt","lag_casual"
"22",22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,100.857142857143,0.2020912,0.204813657142857,0.0988391,0.0965217,1,0.2466,0.436522,1,1,0,-129,93,888,981,1416,86
"23",23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,86.4285714285714,0.182784728571428,0.185473957142857,0.11793,0.0973913,1,0.15833,0.491739,1,1,0,-101,150,836,986,1985,186
"24",24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,82,0.171578771428571,0.1770681,0.234526,0.223478,2,0.129796,0.616957,1,1,0,-31,86,1330,1416,506,34
"25",25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,107.285714285714,0.172551771428571,0.177381385714286,0.2036,0.2175,3,0.29385,0.8625,1,1,0,177,186,1799,1985,431,15
"26",26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,101,0.161884057142857,0.163835385714286,0.2197,0.195,1,0.113837,0.6875,1,1,0,-44,34,472,506,1167,38
"27",27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,91.2857142857143,0.1523602,0.158785385714286,0.223317,0.203478,2,0.1233,0.793043,0,0,0,-68,15,416,431,1098,123
"28",28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,86,0.156071342857143,0.168140242857143,0.212126,0.196522,1,0.145365,0.651739,0,0,0,-37,38,1129,1167,1096,140
"29",29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,90.2857142857143,0.175698714285714,0.1871483,0.250322,0.216522,1,0.0739826,0.722174,1,1,0,30,123,975,1098,1501,42
"30",30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,88.8571428571429,0.192841614285714,0.208788714285714,0.18625,0.180833,2,0.187192,0.60375,1,1,0,-10,140,956,1096,1360,47
"31",31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,82.5714285714286,0.204761857142857,0.218548714285714,0.23453,0.192174,2,0.053213,0.829565,1,1,0,-44,42,1459,1501,1526,72
"32",32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,62.7142857142857,0.200289857142857,0.218549285714286,0.254417,0.26,2,0.264308,0.775417,1,1,0,-139,47,1313,1360,1550,61
"33",33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,68.1428571428571,0.206361285714286,0.225808857142857,0.177878,0.186957,1,0.277752,0.437826,1,1,0,38,72,1454,1526,1708,88
"34",34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,74.7142857142857,0.205212285714286,0.219834285714286,0.228587,0.211304,2,0.127839,0.585217,0,0,0,46,61,1489,1550,1005,100
"35",35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,81.8571428571429,0.206330285714286,0.220587142857143,0.243058,0.233333,2,0.161079,0.929167,0,0,0,50,88,1620,1708,1623,354
"36",36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,78.5714285714286,0.211589,0.225006,0.291671,0.285833,1,0.1418,0.568333,1,1,0,-23,100,905,1005,1712,120
"37",37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,109.142857142857,0.221490571428571,0.230913,0.303658,0.271667,1,0.0454083,0.738333,1,1,0,214,354,1269,1623,1530,64
"38",38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120.285714285714,0.234466857142857,0.247685571428571,0.198246,0.220833,1,0.36195,0.537917,1,1,0,78,120,1592,1712,1605,53
"39",39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,122.714285714286,0.238561,0.242502142857143,0.144283,0.134783,2,0.188839,0.494783,1,1,0,17,64,1466,1530,1538,47
"40",40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,120,0.220672857142857,0.226768714285714,0.149548,0.144348,1,0.221935,0.437391,1,1,0,-19,53,1552,1605,1746,149
"41",41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,118,0.214585857142857,0.222721571428571,0.213509,0.189091,1,0.10855,0.506364,0,0,0,-14,47,1491,1538,1472,288
"42",42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,126.714285714286,0.211412571428571,0.220567571428571,0.232954,0.2225,1,0.203367,0.544167,0,0,0,61,149,1597,1746,1589,397
"43",43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,153.571428571429,0.209865,0.219124142857143,0.324113,0.316522,1,0.260883,0.457391,1,1,0,188,288,1184,1472,1913,208
"44",44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,159.714285714286,0.214249142857143,0.223758714285714,0.39835,0.415,1,0.417908,0.375833,1,1,0,43,397,1192,1589,1815,140
"45",45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,172.285714285714,0.234725285714286,0.237286142857143,0.254274,0.266087,1,0.291374,0.314348,1,1,0,88,208,1705,1913,2115,218
"46",46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,183.142857142857,0.241190142857143,0.245290142857143,0.3162,0.318261,1,0.251791,0.423478,1,1,0,76,140,1675,1815,2475,259
"47",47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,206.714285714286,0.267401285714286,0.269849714285714,0.428658,0.435833,1,0.230104,0.505,1,1,0,165,218,1897,2115,2927,579
"48",48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,237,0.309042,0.309722571428572,0.511983,0.521667,1,0.264925,0.516667,0,0,0,212,259,2216,2475,1635,532
"49",49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,298.428571428571,0.356552857142857,0.352361714285714,0.391404,0.399167,1,0.507463,0.187917,0,0,0,430,579,2348,2927,1812,639
"50",50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,333.285714285714,0.381791,0.374997428571429,0.27733,0.285217,1,0.223235,0.407826,1,0,1,244,532,1103,1635,1107,195
"51",51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,367.857142857143,0.377318857142857,0.368314142857143,0.284075,0.303333,2,0.307846,0.605,1,1,0,242,639,1173,1812,1450,74
"52",52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,366,0.361366428571428,0.351989142857143,0.186033,0.182222,1,0.195683,0.577778,1,1,0,-13,195,912,1107,1917,139
"53",53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,356.571428571429,0.349385714285714,0.342240428571429,0.245717,0.221739,1,0.094113,0.423043,1,1,0,-66,74,1376,1450,1807,100
"54",54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,345.285714285714,0.335596857142857,0.332171428571429,0.289191,0.295652,2,0.250496,0.697391,1,1,0,-79,139,1778,1917,1461,120
"55",55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,322.571428571429,0.315571,0.312247571428571,0.350461,0.364348,2,0.346539,0.712174,0,0,0,-159,100,1707,1807,1969,424
"56",56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,257,0.293096857142857,0.289173,0.282192,0.2825,1,0.186571,0.537917,0,0,0,-459,120,1341,1461,2402,694
"57",57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,241.571428571429,0.276430142857143,0.273571285714286,0.351109,0.343478,1,0.125248,0.68,1,1,0,-108,424,1545,1969,1446,81
"58",58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,249.428571428571,0.284753142857143,0.284111142857143,0.400118,0.407273,2,0.289686,0.876364,1,1,0,55,694,1708,2402,1851,137
"59",59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,233.142857142857,0.299601714285714,0.300688714285714,0.263879,0.266667,1,0.216425,0.535,1,1,0,-114,81,1365,1446,2134,231
"60",60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,242.142857142857,0.311665285714286,0.311809571428571,0.320071,0.335,1,0.307833,0.449583,1,1,0,63,137,1714,1851,1685,123
"61",61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,255.285714285714,0.327845428571428,0.322431571428571,0.200133,0.198333,1,0.225754,0.318333,1,1,0,92,231,1903,2134,1944,214
"62",62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,258.571428571429,0.313942714285714,0.309709,0.255679,0.261667,2,0.203346,0.610417,0,0,0,23,123,1562,1685,2077,640
"63",63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,272,0.299274,0.296168714285714,0.378779,0.384167,2,0.251871,0.789167,0,0,0,94,214,1730,1944,605,114
"64",64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,302.857142857143,0.313797857142857,0.309966857142857,0.366252,0.376522,2,0.343287,0.948261,1,1,0,216,640,1437,2077,1872,244
"65",65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,220,0.318518428571428,0.312130142857143,0.238461,0.261739,1,0.341352,0.551304,1,1,0,-580,114,491,605,2133,316
"66",66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,243.285714285714,0.297727857142857,0.289036285714286,0.3024,0.2925,1,0.12065,0.420833,1,1,0,163,244,1628,1872,1891,191
"67",67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,268.857142857143,0.301418285714286,0.294539285714286,0.286608,0.295833,2,0.22015,0.775417,1,1,0,179,316,1817,2133,623,46
"68",68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,263.142857142857,0.295823,0.289758857142857,0.385668,0.389091,3,0.261877,0,1,1,0,-40,191,1700,1891,1977,247
"69",69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,252.142857142857,0.323074142857143,0.316263857142857,0.305,0.316522,2,0.23297,0.649565,0,0,0,-77,46,577,623,2132,724
"70",70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,256.857142857143,0.330910571428571,0.323309714285714,0.32575,0.329167,1,0.220775,0.594583,0,0,0,33,247,1730,1977,2417,982
"71",71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,268.857142857143,0.323053428571428,0.315734142857143,0.380091,0.384348,1,0.270604,0.527391,1,1,0,84,724,1408,2132,2046,359
"72",72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,392.857142857143,0.324171428571428,0.317711142857143,0.332,0.325217,1,0.136926,0.496957,1,1,0,868,982,1435,2417,2056,289
"73",73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,409.285714285714,0.333239714285714,0.331073857142857,0.318178,0.317391,2,0.184309,0.655652,1,1,0,115,359,1687,2046,2192,321
"74",74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,405.428571428571,0.336795571428571,0.333327857142857,0.36693,0.365217,2,0.203117,0.776522,1,1,0,-27,289,1767,2056,2744,424
"75",75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,424,0.346707571428571,0.344802428571429,0.410333,0.415,1,0.209579,0.602917,1,1,0,130,321,1871,2192,3239,884
"76",76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,478,0.350408857142857,0.348326,0.527009,0.54,1,0.231017,0.525217,0,0,0,378,424,2320,2744,3117,1424
"77",77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,569,0.382334285714285,0.380041571428571,0.466525,0.4725,1,0.368167,0.379167,0,0,0,637,884,2355,3239,2471,1047
"78",78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,669,0.402810428571428,0.400152285714286,0.32575,0.3325,1,0.207721,0.47375,1,1,0,700,1424,1693,3117,2077,401
"79",79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,678.285714285714,0.395403571428571,0.392389285714286,0.409735,0.430435,2,0.288783,0.737391,1,1,0,65,1047,1424,2471,2703,460
"80",80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,684.285714285714,0.410434714285714,0.403494285714286,0.440642,0.441667,1,0.22575,0.624583,1,1,0,42,401,1676,2077,2121,203
"81",81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,708.714285714286,0.428188428571428,0.420989142857143,0.337939,0.346957,2,0.234261,0.839565,1,1,0,171,460,2243,2703,1865,166
"82",82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,691.857142857143,0.425579857142857,0.416847571428571,0.270833,0.285,2,0.243787,0.805833,1,1,0,-118,203,1918,2121,2210,300
"83",83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,655,0.407008428571428,0.396919,0.256312,0.264167,1,0.230725,0.495,0,0,0,-258,166,1699,1865,2496,981
"84",84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,571.571428571429,0.367603714285714,0.358248,0.257571,0.265833,1,0.209571,0.394167,0,0,0,-584,300,1910,2210,1693,472
"85",85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,508.285714285714,0.338079857142857,0.328397428571429,0.250339,0.253043,2,0.1843,0.493913,1,1,0,-443,981,1515,2496,2028,222
"86",86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,426.142857142857,0.326728857142857,0.317624428571429,0.257574,0.264348,1,0.212204,0.302174,1,1,0,-575,472,1221,1693,2425,317
"87",87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,400.571428571429,0.303002142857143,0.295887142857143,0.292908,0.3025,1,0.226996,0.314167,1,1,0,-179,222,1806,2028,1536,168
"88",88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,380.142857142857,0.283121142857143,0.274782285714286,0.29735,0.3,2,0.172888,0.646667,1,1,0,-143,317,2108,2425,1685,179
"89",89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,375.142857142857,0.276413,0.268983857142857,0.257575,0.268333,3,0.217646,0.918333,1,1,0,-35,168,1368,1536,2227,307
"90",90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,377,0.274032,0.267089857142857,0.283454,0.3,2,0.258708,0.68625,0,0,0,13,179,1506,1685,2252,898
"91",91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,378,0.279151,0.270967285714286,0.315637,0.315,2,0.197146,0.65375,0,0,0,7,307,1920,2227,3249,1651
"92",92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,366.142857142857,0.286174857142857,0.279262428571429,0.378767,0.378333,1,0.182213,0.48,1,1,0,-83,898,1354,2252,3115,734
"93",93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,534.571428571429,0.304073428571428,0.297609285714286,0.542929,0.573333,1,0.385571,0.42625,1,1,0,1179,1651,1598,3249,1795,167
"94",94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,607.714285714286,0.348214142857143,0.338374285714286,0.39835,0.414167,2,0.388067,0.642083,1,1,0,512,734,2381,3115,2808,413
"95",95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,586.285714285714,0.364166571428571,0.353437428571429,0.387608,0.390833,1,0.263063,0.470833,1,1,0,-150,167,1628,1795,3141,571
"96",96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,621.285714285714,0.377142714285714,0.366331428571429,0.433696,0.4375,1,0.162312,0.602917,1,1,0,245,413,2395,2808,1471,172
"97",97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,677.285714285714,0.401309428571428,0.391491571428571,0.324479,0.335833,2,0.226992,0.83625,0,0,0,392,571,2570,3141,2455,879
"98",98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,658,0.406428428571428,0.397352285714286,0.341529,0.3425,2,0.133083,0.8775,0,0,0,-135,172,1299,1471,2895,1188
"99",99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,655.285714285714,0.410357,0.401051142857143,0.426737,0.426667,2,0.146767,0.8575,1,1,0,-19,879,1576,2455,3348,855
"100",100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,589.142857142857,0.417261857142857,0.407904,0.565217,0.595652,2,0.324474,0.716956,1,1,0,-463,1188,1707,2895,2034,257
"101",101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,606.428571428571,0.420450285714286,0.411088,0.493054,0.5025,2,0.274879,0.739167,1,1,0,121,855,2493,3348,2162,209
"102",102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,619.285714285714,0.433069285714286,0.424617142857143,0.417283,0.4125,2,0.250617,0.819167,1,1,0,90,257,1777,2034,3267,529
"103",103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,590.142857142857,0.436164571428571,0.428856428571429,0.462742,0.4675,1,0.1107,0.540417,1,0,1,-204,209,1953,2162,3126,642
"104",104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,584.142857142857,0.440450285714286,0.433005857142857,0.441913,0.446667,1,0.226375,0.67125,0,0,0,-42,529,2738,3267,795,121
"105",105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,651.285714285714,0.456283714285714,0.449782142857143,0.425492,0.430833,3,0.340808,0.888333,0,0,0,470,642,2484,3126,3744,1558
"106",106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,543,0.468902714285714,0.461776857142857,0.445696,0.456667,1,0.303496,0.479583,1,1,0,-758,121,674,795,3429,669
"107",107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,595.857142857143,0.473188428571428,0.464485285714286,0.503146,0.5125,1,0.163567,0.5425,1,1,0,370,1558,2186,3744,3204,409
"108",108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,569.285714285714,0.461309571428571,0.455618,0.489258,0.505833,2,0.157971,0.665833,1,1,0,-186,669,2760,3429,3944,613
"109",109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,591,0.461785714285714,0.455075714285714,0.564392,0.595,1,0.241925,0.614167,1,1,0,152,409,2795,3204,4189,745
"110",110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,648.714285714286,0.487857142857143,0.476091285714286,0.453892,0.459167,1,0.325258,0.407083,1,1,0,404,613,3331,3944,1683,177
"111",111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,679.571428571429,0.486666714285714,0.474827,0.321954,0.336667,2,0.219521,0.729583,0,0,0,216,745,3444,4189,4036,1462
"112",112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,613.142857142857,0.470952428571428,0.45769,0.450121,0.46,2,0.230725,0.887917,0,0,0,-465,177,1506,1683,4191,1710
"113",113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,804.714285714286,0.475119142857143,0.461208428571429,0.551763,0.581667,2,0.192175,0.810833,1,1,0,1341,1462,2574,4036,4073,773
"114",114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,826.428571428571,0.492976285714286,0.476360857142857,0.5745,0.606667,1,0.185333,0.776667,1,1,0,152,1710,2481,4191,4400,678
"115",115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,841.285714285714,0.506428714285714,0.486554285714286,0.594083,0.631667,1,0.3265,0.729167,1,1,0,104,773,3300,4073,3872,547
"116",116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,879.714285714286,0.524405,0.501529285714286,0.575142,0.62,2,0.3122,0.835417,1,1,0,269,678,3722,4400,4058,569
"117",117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,870.285714285714,0.527976428571428,0.503065,0.578929,0.6175,2,0.320908,0.700833,1,1,0,-66,547,3325,3872,4595,878
"118",118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,845.142857142857,0.550595428571428,0.520927428571429,0.497463,0.51,1,0.240063,0.457083,0,0,0,-176,569,3489,4058,5312,1965
"119",119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,945.285714285714,0.575357285714285,0.546000142857143,0.464021,0.4725,1,0.235075,0.503333,0,0,0,701,878,3717,4595,3351,1138
"120",120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1017.14285714286,0.577143,0.547985857142857,0.448204,0.451667,2,0.106354,0.762083,1,1,0,503,1965,3347,5312,4401,847
"121",121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,935.428571428571,0.558571571428571,0.533191714285714,0.532833,0.549167,2,0.183454,0.73,1,1,0,-572,1138,2213,3351,4451,603
"122",122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,946,0.550357285714285,0.527239285714286,0.582079,0.616667,2,0.342667,0.697083,1,1,0,74,847,3554,4401,2633,255
"123",123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,935.285714285714,0.548214428571428,0.525524428571429,0.40465,0.414167,2,0.328996,0.737083,1,1,0,-75,603,3848,4451,4433,614
"124",124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,893.571428571429,0.518809714285714,0.501168428571429,0.441917,0.459167,1,0.295392,0.444167,1,1,0,-292,255,2378,2633,4608,894
"125",125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,900,0.496190714285714,0.481595285714286,0.474117,0.479167,1,0.228246,0.59,0,0,0,45,614,3819,4433,4714,1612
"126",126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,902.285714285714,0.491786,0.478260142857143,0.512621,0.52,1,0.16045,0.54125,0,0,0,16,894,3714,4608,4333,1401
"127",127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,851.857142857143,0.498571714285714,0.485203,0.518933,0.528333,1,0.0746375,0.631667,1,1,0,-353,1612,3102,4714,4362,664
"128",128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,889.428571428571,0.509524,0.495307142857143,0.525246,0.5325,1,0.176,0.58875,1,1,0,263,1401,2932,4333,4803,694
"129",129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,863.285714285714,0.507143,0.494223285714286,0.522721,0.5325,1,0.115671,0.489167,1,1,0,-183,664,3698,4362,4182,550
"130",130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,876.285714285714,0.495119142857143,0.485743571428571,0.5284,0.5425,1,0.120642,0.632917,1,1,0,91,694,4109,4803,4864,695
"131",131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,918.428571428571,0.513452428571428,0.503422142857143,0.523363,0.535,1,0.189667,0.7475,1,1,0,295,550,3632,4182,4105,692
