"","V1"
"518",2101.17424453733
"519",1000.78419764502
"520",966.548756424668
"521",812.623174697427
"522",896.865305341617
"523",912.01065011512
"524",1956.7046770369
"525",2031.23025017322
"526",952.189947622597
"527",860.732485573643
"528",858.026062526042
"529",911.536544174913
"530",919.154524992214
"531",1984.84359780911
"532",1990.79411541751
"533",942.76552304428
"534",884.121212600004
"535",944.987844294024
"536",967.909168510164
"537",954.027420396211
"538",1997.74863861683
"539",1948.62165795953
"540",886.87462874723
"541",882.179753896818
"542",908.89168753918
"543",914.633724965252
"544",925.199892437839
"545",1994.24663926036
"546",1983.56333737441
"547",859.103373206513
"548",785.063251808317
"549",1716.7714626909
"550",766.269003480349
"551",864.7895607793
"552",1930.56835101995
"553",1976.61576789898
"554",920.855092604465
"555",830.403908723305
"556",835.448096895884
"557",909.263087447322
"558",814.675016339745
"559",1654.17663996647
"560",1673.23054527018
"561",857.835712379931
"562",898.996176843702
"563",903.868619761347
"564",902.089291835994
"565",892.456893256604
"566",1828.3278895664
"567",1645.488998625
"568",683.359132675165
"569",808.085708864989
"570",811.257515410028
"571",825.755674036553
"572",862.225608742195
"573",1895.0645627488
"574",1942.41891802045
"575",949.202211801033
"576",930.09671952978
"577",925.301513757786
"578",916.459014780249
"579",900.030005853979
"580",1850.60588645867
"581",1944.08712652222
"582",906.86911298856
"583",802.737940743028
"584",813.750741669397
"585",830.835725033028
"586",919.773811203896
"587",1907.79483120921
"588",1885.10321823873
"589",912.063291649558
"590",936.263635056709
"591",934.979078265726
"592",927.479665633574
"593",924.182146407994
"594",1992.60236020962
"595",2024.16867303739
"596",900.483717143764
"597",853.930223597916
"598",923.417002616651
"599",921.009305517763
"600",915.6257008373
"601",1884.66068696628
"602",1870.45538402393
"603",771.612537865284
"604",868.163522707012
"605",865.976610976665
"606",857.230691781169
"607",862.225608742195
"608",1860.98461485639
"609",1780.0087493625
"610",1834.16318557217
"611",946.334021445051
"612",990.437280938622
"613",987.527325823522
"614",894.635386139726
"615",2016.09317399375
"616",1902.29181440057
"617",884.845219038355
"618",882.407309124085
"619",831.1308695028
"620",844.005861068378
"621",857.412291078494
"622",1915.52776045864
"623",1945.66191029126
"624",979.802690672234
"625",883.651282092441
"626",879.110123382768
"627",923.110503459743
"628",909.475151781124
"629",1948.01387910566
"630",1936.66539401969
"631",859.043096820027
"632",876.043352654772
"633",874.827764508625
"634",901.386051607054
"635",822.108777068048
"636",1839.931623528
"637",1909.0543249074
"638",883.82654528515
"639",778.214852436593
"640",693.513535891886
"641",728.600980240128
"642",724.571831459581
"643",1798.95407197372
"644",1851.22826188292
"645",1805.65369430851
"646",712.014464769683
"647",719.750608948586
"648",819.52305061634
"649",822.945257907757
"650",1807.14999765407
"651",1752.45639056028
"652",730.029256502021
"653",743.083853995142
"654",815.8751890521
"655",836.759148803203
"656",769.181602260524
"657",1784.67369182955
"658",1844.51605113984
"659",874.421741620699
"660",877.428054341413
"661",881.439287406571
"662",876.793999556863
"663",786.225549554872
"664",1781.53188802039
"665",1826.23462454667
"666",794.149302309923
"667",721.684425154149
"670",692.585482525684
"671",1675.08402571629
"672",1543.28978089545
"673",743.435460830688
"674",744.889658363511
"675",549.069248711767
"676",427.05029257886
"677",489.818794974422
"678",1137.34155503786
"679",1156.17088693011
"680",1366.95004841875
"681",682.7036359217
"682",660.135373465458
"683",729.79415984917
"684",653.059882848147
"685",1650.57893414337
"686",1617.33550077631
"687",648.861835638546
"688",450.012530604715
"689",392.909578904461
"690",1145.00655792032
"691",504.37397686638
"692",1321.4437716273
"693",1523.70019107414
"694",595.638115698072
"695",538.512907273682
"696",454.366510475946
"697",488.867421687544
"698",449.303999420712
"699",925.974658386288
"700",589.535281960617
"701",259.518177677817
"702",361.923640347248
"703",381.394766476454
"704",420.685287358477
"705",433.116289147641
"706",942.132613847153
"707",939.492159432771
"708",391.431922998865
"709",352.860042635094
"710",334.096151624639
"711",312.375937704676
"712",370.624483506408
"713",914.40442413131
"714",930.942880272861
"715",293.486267041426
"716",300.978971178456
"717",349.393501678487
"718",362.630556557731
"719",305.431672810227
"720",753.139948016771
"721",818.745152572208
"722",290.873549242601
"723",593.143398548574
"724",229.997226927738
"725",192.290105873625
"726",210.195175444346
"727",526.780341546791
"728",593.307780955401
"729",277.398086954472
